"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"19",20.7,28,46,5,0.039,33.81,2.3,11,"Intervalo 3","Intervalo 3","Intervalo 5","Intervalo 1","Intervalo 1","Intervalo 4","Intervalo 1","Intervalo 2"
"23",60.4,6,74,17,0,27.15,1.2,168,NA,"Intervalo 1",NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 1",NA
"24",90.1,6,89,21,0,25.57,2.3,156,NA,"Intervalo 1",NA,"Intervalo 3","Intervalo 1","Intervalo 3","Intervalo 1",NA
"51",21.7,16,40,29,0,6.93,3.8,172,"Intervalo 3","Intervalo 2","Intervalo 4","Intervalo 3","Intervalo 1","Intervalo 1","Intervalo 1",NA
"52",14.1,21,31,30,0,7.17,6.2,157,"Intervalo 2","Intervalo 3","Intervalo 4","Intervalo 3","Intervalo 1","Intervalo 1","Intervalo 1",NA
"53",31.7,12,35,35,0,5.87,2,25,"Intervalo 4","Intervalo 2","Intervalo 4","Intervalo 4","Intervalo 1","Intervalo 1","Intervalo 1","Intervalo 3"
"54",48.1,6,33,38,0,5.1,3.4,19,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 4","Intervalo 1","Intervalo 1","Intervalo 1","Intervalo 2"
"57",94,6,49,38,0.012,4.33,2.2,19,NA,"Intervalo 1","Intervalo 5","Intervalo 4","Intervalo 1","Intervalo 1","Intervalo 1","Intervalo 2"
"58",122.3,6,62,35,0.121,6.78,4,6,NA,"Intervalo 1",NA,"Intervalo 4","Intervalo 1","Intervalo 1","Intervalo 1","Intervalo 1"
"59",61.2,11,90,32,0.266,8.29,4.3,55,NA,"Intervalo 2",NA,"Intervalo 4","Intervalo 1","Intervalo 1","Intervalo 1",NA
"60",36,15,62,29,0.395,9.79,6.9,140,"Intervalo 4","Intervalo 2",NA,"Intervalo 3","Intervalo 1","Intervalo 1","Intervalo 1",NA
"61",29.1,16,43,24,0.485,11.63,9.5,135,"Intervalo 3","Intervalo 2","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 1",NA
"62",21.9,18,45,20,0.48,12.97,11.4,134,"Intervalo 3","Intervalo 2","Intervalo 5","Intervalo 2","Intervalo 1","Intervalo 2","Intervalo 2",NA
"63",18.7,18,37,20,0.32,14.07,12.5,139,"Intervalo 2","Intervalo 2","Intervalo 4","Intervalo 2","Intervalo 1","Intervalo 2","Intervalo 2",NA
"64",17.7,18,48,20,0.451,14.67,14.1,140,"Intervalo 2","Intervalo 2","Intervalo 5","Intervalo 2","Intervalo 1","Intervalo 2","Intervalo 2",NA
"65",19.4,16,50,20,0.337,15.27,14.2,140,"Intervalo 2","Intervalo 2","Intervalo 5","Intervalo 2","Intervalo 1","Intervalo 2","Intervalo 2",NA
"66",26.1,17,46,20,0.194,15.38,11.7,128,"Intervalo 3","Intervalo 2","Intervalo 5","Intervalo 2","Intervalo 1","Intervalo 2","Intervalo 2",NA
"67",41.7,16,49,20,0.053,14.83,10.2,105,"Intervalo 5","Intervalo 2","Intervalo 5","Intervalo 2","Intervalo 1","Intervalo 2","Intervalo 2",NA
