"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"5",22.6,22,68,44,0,19.12,4.8,150,"Intervalo 3","Intervalo 3",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 1",NA
"12",8.5,29,34,19,0.449,29.94,9.5,77,"Intervalo 1","Intervalo 3","Intervalo 4","Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 1",NA
"32",8.1,33,113,24,0,16.97,22.4,112,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 3",NA
"33",11.4,27,97,33,0.006,14.37,21.5,107,"Intervalo 2","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 3",NA
"34",18.6,23,107,36,0.107,12.13,20,88,"Intervalo 2","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 2",NA
"35",19.5,22,111,37,0.303,10.25,20.7,76,"Intervalo 2","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 3",NA
"36",19.1,22,101,36,0.448,10.03,18.4,87,"Intervalo 2","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 2",NA
"37",18.6,25,87,32,0.546,10.91,16.2,76,"Intervalo 2","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 2",NA
"38",16.2,28,89,29,0.474,12.2,15.1,81,"Intervalo 2","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"39",13.4,33,79,28,0.565,12.88,17.1,71,"Intervalo 2","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"40",13.6,34,61,26,0.491,13.61,16.9,65,"Intervalo 2","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"41",13.8,33,53,25,0.363,13.64,16,70,"Intervalo 2","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"42",14.7,32,51,24,0.187,13.39,14.1,76,"Intervalo 2","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"43",13.8,31,50,25,0.042,12.02,15,83,"Intervalo 2","Intervalo 4","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"44",16.5,28,50,25,0,10.75,14.5,83,"Intervalo 2","Intervalo 3","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"45",21.4,23,48,24,0,9.92,16,83,"Intervalo 3","Intervalo 3","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 1","Intervalo 2",NA
"46",23.2,22,40,23,0,9.16,14,86,"Intervalo 3","Intervalo 3","Intervalo 4","Intervalo 3","Intervalo 1","Intervalo 1","Intervalo 2",NA
