"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"35",7.7,25,89,35,0,10.95,8.7,49,"Intervalo 1","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 5"
"36",8.1,27,70,31,0,10.96,11.3,37,"Intervalo 1","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 2","Intervalo 4"
"37",7.6,29,88,27,0,12.44,10.3,38,"Intervalo 1","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2","Intervalo 4"
"38",7.2,31,62,26,0,13.15,13.6,49,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2","Intervalo 5"
"39",7.1,32,61,25,0,14.14,14.2,50,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2","Intervalo 5"
"40",7.2,33,60,24,0,14.18,13.4,56,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"41",7.4,34,50,23,0,14.13,11.6,54,"Intervalo 1","Intervalo 4","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"42",7.6,35,47,22,0,13.53,11.4,49,"Intervalo 1","Intervalo 4","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2","Intervalo 5"
"43",9,34,58,23,0,11.81,9.8,16,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 2"
"44",9.9,32,55,23,0,10.36,7.2,7,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 1"
"46",12.4,31,38,21,0,8.85,4.6,100,"Intervalo 2","Intervalo 4","Intervalo 4","Intervalo 3","Intervalo 1","Intervalo 1","Intervalo 1",NA
"47",8.4,35,33,20,0,8.44,3.6,15,"Intervalo 1","Intervalo 4","Intervalo 4","Intervalo 2","Intervalo 1","Intervalo 1","Intervalo 1","Intervalo 2"
"52",11.4,25,27,28,0,5.52,4.5,3,"Intervalo 2","Intervalo 3","Intervalo 3","Intervalo 3","Intervalo 1","Intervalo 1","Intervalo 1","Intervalo 1"
"60",44.1,22,66,25,0,9.98,7.7,100,"Intervalo 5","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 1","Intervalo 1",NA
