"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"103",54.2,8,92,28,0.054,11.71,5.6,8,NA,"Intervalo 1",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 1"
"111",19.2,43,42,4,0.319,28.41,9,138,"Intervalo 2","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 1","Intervalo 3","Intervalo 1",NA
"112",14.8,54,42,5,0.285,27.7,13,108,"Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 1","Intervalo 3","Intervalo 2",NA
"113",16.5,60,40,5,0.223,27.4,14.5,115,"Intervalo 2",NA,"Intervalo 4","Intervalo 1","Intervalo 1","Intervalo 3","Intervalo 2",NA
"114",20,63,49,8,0.143,26.75,15.1,121,"Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 1","Intervalo 3","Intervalo 2",NA
"115",30.5,66,61,13,0.071,25.04,13.7,118,"Intervalo 4",NA,NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 2",NA
"116",49.2,38,85,19,0.053,22.52,10.3,101,"Intervalo 5","Intervalo 4",NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 2",NA
"117",53,21,92,22,0.054,20.94,6.3,141,NA,"Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 3","Intervalo 1",NA
"136",16.9,60,41,6,0.286,29.12,9.9,105,"Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 1","Intervalo 3","Intervalo 1",NA
"137",15.2,78,58,8,0.222,28.28,13.5,115,"Intervalo 2",NA,NA,"Intervalo 1","Intervalo 1","Intervalo 3","Intervalo 2",NA
"138",22.5,78,69,10,0.144,27.59,14.1,125,"Intervalo 3",NA,NA,"Intervalo 1","Intervalo 1","Intervalo 3","Intervalo 2",NA
"139",35,66,92,12,0.074,26.08,11.4,127,"Intervalo 4",NA,NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 2",NA
"140",49.5,37,109,17,0.054,23.57,9.2,96,"Intervalo 5","Intervalo 4",NA,"Intervalo 2","Intervalo 1","Intervalo 3","Intervalo 1",NA
"141",28.2,35,117,26,0.043,22.93,13.2,85,"Intervalo 3","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 3","Intervalo 2",NA
"142",25.7,33,80,29,0.042,22.16,13.5,92,"Intervalo 3","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 3","Intervalo 2",NA
"143",34.6,25,59,33,0.046,20.93,9.5,106,"Intervalo 4","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 3","Intervalo 1",NA
"144",29.4,27,59,35,0.044,19.77,8.6,116,"Intervalo 3","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 1",NA
"145",45.8,12,55,39,0.052,18.36,9.3,101,"Intervalo 5","Intervalo 2",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 1",NA
"146",35.3,19,63,43,0.047,17.94,12,95,"Intervalo 4","Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 2","Intervalo 2",NA
"147",11,36,70,54,0.035,15.87,15.4,115,"Intervalo 2","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"148",10.9,34,52,60,0.035,15.23,12.2,134,"Intervalo 2","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"156",19.8,23,59,54,0.143,12.01,11.2,105,"Intervalo 2","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"158",27.3,31,91,55,0.305,15.89,9.9,106,"Intervalo 3","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"159",27.5,38,68,55,0.306,16.8,14,99,"Intervalo 3","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"160",27,35,68,56,0.303,16.86,17.1,115,"Intervalo 3","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"161",30.7,31,75,59,0.241,16.47,17.4,112,"Intervalo 4","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"162",36.3,24,85,61,0.175,16.2,16,117,"Intervalo 4","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"163",51.4,10,94,66,0.078,14.48,12.6,101,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"164",47.6,6,102,75,0.054,12.82,12.1,101,"Intervalo 5","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"165",56.5,4,94,78,0.057,12.18,11.2,106,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 2",NA
"166",60.9,4,90,78,0.06,12.3,8.7,108,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"167",59.6,4,88,78,0.059,12.14,7.8,96,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"180",70,14,134,61,0.247,17.89,4.2,145,NA,"Intervalo 2",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"181",51.1,26,137,50,0.287,20.65,4.4,148,NA,"Intervalo 3",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 1",NA
"182",52.6,36,141,41,0.308,23.39,7.2,142,NA,"Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 1",NA
"183",55.5,39,155,44,0.197,22.05,11.6,104,NA,"Intervalo 4",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 2",NA
"186",58.5,48,144,40,0.138,23.46,9.5,100,NA,"Intervalo 5",NA,"Intervalo 4","Intervalo 1","Intervalo 3","Intervalo 1",NA
"187",71,29,163,46,0.089,22.37,8.1,96,NA,"Intervalo 3",NA,"Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 1",NA
