"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"30",12,31,28,22,0,20.39,15.4,113,"Intervalo 2","Intervalo 4","Intervalo 3","Intervalo 3","Intervalo 1","Intervalo 3","Intervalo 2",NA
"32",8.9,33,115,25,0,16.97,13.1,112,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"33",12.6,26,71,34,0.004,14.54,9.4,116,"Intervalo 2","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 1",NA
"34",19.3,22,86,38,0.123,12.43,10.1,104,"Intervalo 2","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 2",NA
"35",19.4,22,93,40,0.283,10.76,12.6,109,"Intervalo 2","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 2",NA
"36",18.9,22,85,40,0.417,10,11.9,110,"Intervalo 2","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 1","Intervalo 2",NA
"37",18.9,24,68,36,0.511,11.2,9.7,104,"Intervalo 2","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 1",NA
"38",18.4,26,82,33,0.55,12.13,9.8,93,"Intervalo 2","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 1",NA
"39",17.7,29,67,31,0.531,12.69,11.9,101,"Intervalo 2","Intervalo 3",NA,"Intervalo 4","Intervalo 1","Intervalo 2","Intervalo 2",NA
"40",16.4,32,62,30,0.464,13.39,11,101,"Intervalo 2","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"41",18.3,31,49,28,0.348,13.51,11.1,97,"Intervalo 2","Intervalo 4","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"42",17.8,29,50,28,0.182,12.79,10.8,110,"Intervalo 2","Intervalo 3","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"43",18.7,26,47,29,0.011,11.36,11.3,114,"Intervalo 2","Intervalo 3","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"44",19.7,24,49,28,0,10.53,11.9,120,"Intervalo 2","Intervalo 3","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 2",NA
"45",23.6,20,51,28,0,9.78,12.2,125,"Intervalo 3","Intervalo 2",NA,"Intervalo 3","Intervalo 1","Intervalo 1","Intervalo 2",NA
"46",23.8,21,52,26,0,8.72,10.5,112,"Intervalo 3","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 1","Intervalo 2",NA
"47",25.4,20,42,27,0,8.43,9.2,125,"Intervalo 3","Intervalo 2","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 1","Intervalo 1",NA
"48",27.6,19,38,26,0,7.86,7.2,106,"Intervalo 3","Intervalo 2","Intervalo 4","Intervalo 3","Intervalo 1","Intervalo 1","Intervalo 1",NA
"49",21.7,21,38,28,0,7.33,2.6,153,"Intervalo 3","Intervalo 3","Intervalo 4","Intervalo 3","Intervalo 1","Intervalo 1","Intervalo 1",NA
"50",17.8,24,35,30,0,7.54,7.1,149,"Intervalo 2","Intervalo 3","Intervalo 4","Intervalo 3","Intervalo 1","Intervalo 1","Intervalo 1",NA
"51",9.6,31,38,32,0,6.98,7.7,124,"Intervalo 1","Intervalo 4","Intervalo 4","Intervalo 4","Intervalo 1","Intervalo 1","Intervalo 1",NA
"52",7.9,32,29,33,0,6.38,7.4,132,"Intervalo 1","Intervalo 4","Intervalo 3","Intervalo 4","Intervalo 1","Intervalo 1","Intervalo 1",NA
"53",7.3,31,27,35,0,5.7,4.3,131,"Intervalo 1","Intervalo 4","Intervalo 3","Intervalo 4","Intervalo 1","Intervalo 1","Intervalo 1",NA
"59",53.3,17,76,22,0.283,8.36,2.5,68,NA,"Intervalo 2",NA,"Intervalo 3","Intervalo 1","Intervalo 1","Intervalo 1",NA
"60",45.7,22,58,21,0.417,9.54,3.1,74,"Intervalo 5","Intervalo 3",NA,"Intervalo 3","Intervalo 1","Intervalo 1","Intervalo 1",NA
"61",31.9,28,41,24,0.511,10.3,7.8,107,"Intervalo 4","Intervalo 3","Intervalo 5","Intervalo 3","Intervalo 1","Intervalo 2","Intervalo 1",NA
